[2026-03-16T23:17:17.231Z] GET http://localhost:8085/index.html → 200 (22ms, 8607B)
[2026-03-16T23:17:17.273Z] GET http://localhost:8085/css/styles.css → 200 (6ms, 16118B)
[2026-03-16T23:17:17.273Z] GET http://localhost:8085/assets/logos/Logo_Ppal_LNDB.png → 200 (7ms, 206157B)
[2026-03-16T23:17:17.273Z] GET http://localhost:8085/assets/images/trees/Tamarindo.png → 200 (8ms, 662808B)
[2026-03-16T23:17:17.273Z] GET http://localhost:8085/assets/images/trees/Cenizo.png → 200 (17ms, 925056B)
[2026-03-16T23:17:17.274Z] GET http://localhost:8085/assets/images/trees/Eucalipto.png → 200 (17ms, 575261B)
[2026-03-16T23:17:17.274Z] GET http://localhost:8085/assets/images/trees/Arrayan.png → 200 (19ms, 534954B)
[2026-03-16T23:17:17.274Z] GET http://localhost:8085/assets/images/trees/PalmaCera.png → 200 (17ms, 141214B)
[2026-03-16T23:17:17.274Z] GET http://localhost:8085/assets/images/trees/GuayacanA.png → 200 (17ms, 903104B)
[2026-03-16T23:17:17.274Z] GET http://localhost:8085/assets/images/trees/Ceiba.png → 200 (19ms, 581787B)
[2026-03-16T23:17:17.274Z] GET http://localhost:8085/assets/images/trees/Cacao.png → 200 (19ms, 730726B)
[2026-03-16T23:17:17.274Z] GET http://localhost:8085/assets/images/trees/Copal.png → 200 (19ms, 747763B)
[2026-03-16T23:17:17.275Z] GET http://localhost:8085/assets/images/trees/Yarumo.png → 200 (19ms, 1061748B)
[2026-03-16T23:17:17.276Z] GET http://localhost:8085/assets/images/trees/Roble.png → 200 (46ms, 682777B)
[2026-03-16T23:17:17.276Z] GET http://localhost:8085/assets/images/trees/Nogal.png → 200 (51ms, 594320B)
[2026-03-16T23:17:17.276Z] GET http://localhost:8085/assets/images/trees/Caimito.png → 200 (52ms, 955790B)
[2026-03-16T23:17:17.276Z] GET http://localhost:8085/assets/images/trees/GuayacanR.png → 200 (51ms, 1000133B)
[2026-03-16T23:17:17.276Z] GET http://localhost:8085/assets/images/trees/Cerezo.png → 200 (52ms, 814012B)
[2026-03-16T23:17:17.276Z] GET http://localhost:8085/assets/images/trees/Mango.png → 200 (56ms, 663974B)
[2026-03-16T23:17:17.278Z] GET http://localhost:8085/assets/images/book-1.jpg → 200 (54ms, 473164B)
[2026-03-16T23:17:17.279Z] GET http://localhost:8085/assets/logos/Logo_Blanco_LNDB.png → 200 (52ms, 732666B)
[2026-03-16T23:17:17.318Z] GET http://localhost:8085/assets/fonts/Mulish-Medium.ttf → 200 (20ms, 105916B)
[2026-03-16T23:17:17.319Z] GET http://localhost:8085/assets/fonts/Isaodelco-Regular.otf → 200 (19ms, 16032B)
[2026-03-16T23:17:17.319Z] GET http://localhost:8085/assets/fonts/Mulish-Regular.ttf → 200 (19ms, 105860B)
[2026-03-16T23:17:17.319Z] GET http://localhost:8085/assets/fonts/Mulish-SemiBold.ttf → 200 (19ms, 105860B)
[2026-03-16T23:18:58.054Z] GET http://localhost:8085/index.html → 200 (1ms, 8283B)
[2026-03-16T23:18:58.058Z] GET http://localhost:8085/css/styles.css → 200 (?ms, 16118B)
[2026-03-16T23:18:58.058Z] GET http://localhost:8085/assets/logos/Logo_Ppal_LNDB.png → 200 (?ms, 206157B)
[2026-03-16T23:18:58.058Z] GET http://localhost:8085/assets/images/trees/Eucalipto.png → 200 (?ms, 575261B)
